発注先コード,発注先名,倉庫コード,倉庫名,商品コード,商品名,元発注CD,正発注CD,発注数量,入荷予定日,発注日,候補ID,元メッセージID
1330,三菱食品株式会社,91,華むすびの蔵センター,211485,　キリン　零ＩＣＨＩ（ゼロイチ）３５０ｍｌ,,4901411092577,2,2026-05-07,2026-05-06,179,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,215462,　キリン　生茶リッチ４００ｍｌ,4909411097721,4909411097721,1,2026-05-07,2026-05-06,180,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,131324,　キリンウィスキー陸　４Ｌ,4901411104232,4901411104232,4,2026-05-07,2026-05-06,183,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,142056,　ハイネケンロングネック瓶３３０ｍｌ,,4595315464013,4,2026-05-07,2026-05-06,185,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,143209,　キリン　一番搾り生３ＬＰＥＴ　,4901411108933,4901411108933,48,2026-05-07,2026-05-06,187,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,145015,　キリンハートランド　樽１５Ｌ,4901411181707,4901411181707,4,2026-05-07,2026-05-06,189,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,157919,　ダンシングフレイム　ソーヴィニヨンブラン　７５０ｍｌ,4962840962831,4962840962831,1,2026-05-07,2026-05-06,190,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,171318,　キリン　まっこい梅酒　パック　２Ｌ,4901411034966,4901411034966,2,2026-05-07,2026-05-06,194,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,171447,　ホワイトホース　樽詰めハイボール　７Ｌ,4901411078403,4901411078403,12,2026-05-07,2026-05-06,195,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,171909,　キリン　氷結　無糖　レモン　コンク１．８Ｌ,4901411106274,4901411106274,4,2026-05-07,2026-05-06,196,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,171959,　キリン　陸ハイボール３ＬＰＥＴ,4901411107592,4901411107592,4,2026-05-07,2026-05-06,198,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,172206,　デカイパー　クレームドカシス　７００ｍｌ,4901411043982,4901411043982,2,2026-05-07,2026-05-06,203,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,172082,　ベイリーズ　アイリッシュクリーム　７００ｍｌ,,5011013100156,2,2026-05-07,2026-05-06,205,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,213082,　キリン　小岩井　純水りんご１．５Ｌ,,4909411077013,8,2026-05-07,2026-05-06,208,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,213218,　キリン小岩井　純水ぶどう１．５Ｌ,,4909411077037,4,2026-05-07,2026-05-06,211,put_69facb0853900_20260506140056@lw-hana.co.jp
1330,三菱食品株式会社,91,華むすびの蔵センター,241037,　ＭＹ　レモン７２０ｍｌ,4902701352142,4902701352142,1,2026-05-07,2026-05-06,212,put_69facb0853900_20260506140056@lw-hana.co.jp
