warehouse_code,oracle_store_code,item_code,chosen_product_code,chosen_shelf_code,sales_flag,main_supplier_code,oracle_stock_qty,candidate_count
91,91,111010,111010000,W07203,0,1021,13,1
91,91,111026,111026000,W05103,0,1202,87,1
91,91,111028,111028000,W07304,0,1202,43,1
91,91,111037,111037000,YC0000,0,1021,2,5
91,91,111048,111048000,E06109,0,1330,6,8
91,91,111055,111055000,H05318,0,1202,7,2
91,91,111078,111078000,AW0000,0,1021,18,1
91,91,111099,111099000,D07101,0,1021,51,6
91,91,111106,111106000,F01105,0,1202,4,2
91,91,111116,111116000,P11102,0,1202,195,9
91,91,111120,111120000,B08104,0,1202,332,1
91,91,111121,111121000,E09316,0,1202,5,2
91,91,111130,111130000,E10103,0,1202,10,1
91,91,111172,111172000,YC0000,0,1021,12,1
91,91,111177,111177000,D06203,0,1021,12,1
91,91,111239,111239000,Z01102,0,1330,47,1
91,91,111248,111248000,W08101,0,1202,195,1
91,91,111299,111299000,G06105,0,1021,5,1
91,91,111338,111338000,E09208,0,1202,16,1
91,91,111340,111340000,E10216,0,1202,7,1
91,91,111341,111341000,E06208,0,1202,20,1
91,91,111354,111354000,YC0000,0,1330,25,1
91,91,111396,111396000,L18306,0,1330,30,1
91,91,111421,111421000,W05205,0,1202,180,1
91,91,111422,111422000,E06207,0,1202,1,1
91,91,111469,111469000,E09310,0,1021,9,1
91,91,111470,111470000,E08107,0,1021,17,1
91,91,111471,111471000,F01317,0,1021,2,1
91,91,111477,111477000,R02206,0,1202,48,1
91,91,112001,112001000,E06206,0,1370,5,1
91,91,112018,112018000,F07105,0,1460,9,1
91,91,112020,112020000,G06303,0,1460,12,1
91,91,112030,112030000,G07402,0,1263,12,1
91,91,112037,112037000,P16101,0,1741,41,3
91,91,112047,112047000,W06110,0,1021,1,1
91,91,112056,112056000,W02201,0,1514,103,1
91,91,112059,112059000,W06105,0,1512,2,1
91,91,112063,112063000,W02303,0,1514,2,1
91,91,112080,112080000,E09106,0,1825,4,1
91,91,112086,112086000,W09104,0,1202,201,5
91,91,112098,112098000,F07106,0,1370,16,1
91,91,112103,112103000,AW0000,0,2018,146,1
91,91,112110,112110000,F06103,0,1370,33,1
91,91,112115,112115000,D06105,0,1202,542,2
91,91,112125,112125000,G06103,0,1370,7,1
91,91,112130,112130000,E07207,0,1370,8,1
91,91,112148,112148000,E10309,0,1679,7,1
91,91,112151,112151000,G06201,0,1825,43,1
91,91,112177,112177000,E05105,0,1370,14,1
91,91,112182,112182000,Q00000,0,1536,2,1
91,91,112194,112194000,C06102,0,1202,9,1
91,91,112197,112197000,G05301,0,1166,5,1
91,91,112199,112199000,W01203,0,1514,49,1
91,91,112203,112203000,C01201,0,1202,98,1
91,91,112216,112216000,I08107,0,1460,3,1
91,91,112217,112217000,I08103,0,1460,1,1
91,91,112223,112223000,Q00000,0,1539,3,1
91,91,112229,112229000,B03103,0,2018,25,1
91,91,112243,112243000,E08210,0,1572,5,1
91,91,112257,112257000,YX0000,0,2018,7,1
91,91,112265,112265000,W05102,0,1572,16,1
91,91,112270,112270000,YX0000,0,2018,3,1
91,91,112278,112278000,D09101,0,1012,83,4
91,91,112280,112280000,F01204,0,1181,9,1
91,91,112281,112281000,H05311,0,1181,23,1
91,91,112283,112283000,W06101,0,1181,6,1
91,91,112303,112303000,G06301,0,1166,41,1
91,91,112307,112307000,I09102,0,1514,4,1
91,91,112312,112312000,C03105,0,1572,14,1
91,91,112314,112314000,F03103,0,1263,14,1
91,91,112324,112324000,YX0000,0,1202,1,1
91,91,112325,112325000,E11311,0,1370,15,1
91,91,112327,112327000,C05101,0,1539,16,1
91,91,112329,112329000,B06205,0,1370,49,1
91,91,112340,112340000,I00000,0,2018,6,1
91,91,112341,112341000,H06212,0,1263,5,1
91,91,112349,112349000,G06310,0,1460,4,1
91,91,112351,112351000,E05202,0,1539,5,1
91,91,112352,112352000,E05112,0,1539,5,1
91,91,112396,112396000,G05305,0,1825,24,1
