JXフォルダ,ファイル名,JX伝票番号,店舗CD,倉庫名,JX仕入先CD,仕入先名,発注日,納品日,JANコード,JX商品CD,JX商品名,DB商品CD,DB商品名,入数,入荷ケース,入荷バラ,入荷総数,入荷予定伝票,発注数,発注単位,予定仕入先名,商品登録
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,20260506100,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,6007359000600,213175,　デュウランド　パイナップルジュース１Ｌ,213175,　デュウランド　パイナップルジュース１Ｌ,12,0,0,0,20260507747,2,CASE,"国分中部㈱第二支社 福井支店",YES
20260507,20260507130315_2026050663942872-20260507125653@FINET.dat,20260506100,0098,営業部石川（金沢）,1202,"国分中部㈱第二支社 福井支店",260506,260507,4920205210942,100004,高畠　嘉スパークリング,100004,高畠　嘉スパークリング,6,0,0,0,20260507752,1,CASE,"国分中部㈱第二支社 福井支店",YES
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006023,0091,華むすびの蔵センター,0011,カナカン(株),260506,260507,000000000000,,　　　　　　　　　　　　　　　　　　　　　　　　,,,30,0,0,0,,,,,NO
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006082,0091,華むすびの蔵センター,0011,カナカン(株),260506,260507,3179730013196,317973,ペリエ　ペリエ瓶　　　　　　　　　３３０ＭＬ　　,216077,　ペリエ　ペリエ　瓶３３０ｍｌ,24,0,0,0,26050700025,4,CASE,"カナカン(株)食品  福井営業所",YES
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006083,0091,華むすびの蔵センター,0011,カナカン(株),260506,260507,000000000000,,　　　　　　　　　　　　　　　　　　　　　　　　,,,30,0,0,0,,,,,NO
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006083,0091,華むすびの蔵センター,0011,カナカン(株),260506,260507,3179730013196,317973,ペリエ　ペリエ瓶　　　　　　　　　３３０ＭＬ　　,216077,　ペリエ　ペリエ　瓶３３０ｍｌ,24,0,0,0,26050700025,4,CASE,"カナカン(株)食品  福井営業所",YES
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006201,0003,坂井店,0011,カナカン(株),260506,260507,4514603244106,451460,　　　　　　　　　　　　　　　　　　　　　　　　,211402,×ウィルキンソン　タンサン缶２５０ｍｌ,20,0,0,0,26050700065,3,CASE,"カナカン(株)食品  福井営業所",YES
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006217,0021,江守店,0011,カナカン(株),260506,260507,000000000000,,　　　　　　　　　　　　　　　　　　　　　　　　,,,24,0,0,0,,,,,NO
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006045,0071,特販課,0011,カナカン(株),260506,260507,000000000000,,　　　　　　　　　　　　　　　　　　　　　　　　,,,10,0,0,0,,,,,NO
20260507,20260507130318_2026050663947767-20260507130318@FINET.dat,20261006210,0003,坂井店,0011,カナカン(株),260506,260507,4977856201829,497785,ＭＤ　森の黒トリュフ塩ナッツＭ　　７０Ｇ　　　　,249474,　ＭＤ　森の黒トリュフ塩ナッツミックス７０ｇ,12,0,0,0,26050700071,1,CASE,"カナカン(株)菓子  福井営業所",YES
