status,message,real_stock_id,item_id,item_code,item_name,current_quantity,reserved_quantity,parent_available,pickable_available,missing_pickable_qty,patch_lot_id,patch_lot_location_id,pickable_current,missing_current_qty,patch_lot_current_before,patch_lot_reserved_before,patch_qty
updated,,16659,142368,142368,　キリン　一番搾り　糖質ゼロ３５０ｍｌ,473,0,473,287,186,16659,2,287,186,287,0,186
updated,,17866,143025,143025,◎アサヒ　スーパードライ５００ｍｌ,440,0,440,256,184,17866,2,256,184,256,0,184
updated,,19859,184256,184256,　タカラ　焼酎ハイボール　ドライ３５０ｍｌ,559,0,559,382,177,19859,2,382,177,382,0,177
updated,,16677,145014,145014,　サッポロ　極ＺＥＲＯ３５０ｍｌ,255,0,255,111,144,16677,2,111,144,111,0,144
updated,,20252,211351,211351,　ＩＢ　強炭酸水１Ｌ,323,0,323,205,118,20252,2,205,118,205,0,118
updated,,16874,114018,114018,◎白鶴まる　パック２Ｌ,141,0,141,38,103,16874,2,38,103,38,0,103
skipped,"no active NULL/NULL pickable lot",52283,1004025,980520514,"CODEX wave 980520514",96,0,96,0,96,,,0,96,,,96
updated,,17869,143037,143037,◎キリンラガー５００ｍｌ,224,0,224,132,92,17869,2,132,92,132,0,92
skipped,"no active NULL/NULL pickable lot",52281,1004024,980341586,"CODEX horizontal 980341586",90,0,90,0,90,,,0,90,,,90
skipped,"no active NULL/NULL pickable lot",52285,1004026,980874993,"CODEX confirm 980874993",76,0,76,0,76,,,0,76,,,76
skipped,"no active NULL/NULL pickable lot",52279,1004023,990007875,CODEX倉庫移動在庫テスト990007875,64,0,64,0,64,,,0,64,,,64
updated,,17788,141037,141037,○キリン　一番搾り　中瓶５００ｍｌ,82,0,82,42,40,17788,2,42,40,42,0,40
updated,,17793,141080,141080,　サッポロ　ラガー　大瓶６３３ｍｌ,106,0,106,72,34,17793,2,72,34,72,0,34
updated,,19841,184099,184099,　タカラ　カンチューハイ　レモン　２５０ｍｌ,94,0,94,72,22,19841,2,72,22,72,0,22
updated,,18442,286557,286557,　鮮魚丸松　超大型バナメイエビ　むきえび５００ｇ,16,0,16,1,15,18442,2,1,15,1,0,15
updated,,17629,131074,131074,　ウィスキー　岳　７００ｍｌ,15,0,15,4,11,17629,2,4,11,4,0,11
skipped,"no active NULL/NULL pickable lot",51619,246316,246316,　鮮魚丸松　北海道産　水タコ足１本,10,0,10,0,10,,,0,10,,,10
updated,,17018,122280,122280,○２０°いいちこ（麦）パック１．８Ｌ,18,0,18,8,10,17018,2,8,10,8,0,10
updated,,17593,123874,123874,　２５°本格芋焼酎　さつま響ペット５Ｌ（芋）,9,0,9,1,8,17593,2,1,8,1,0,8
updated,,20345,244862,244862,　尾道市ＪＡ　因島のはっさくゼリー７８ｇ,16,0,16,8,8,20345,2,8,8,8,0,8
updated,,17442,121164,121164,　２５°メルシャン大喜利ペット４Ｌ,18,0,18,10,8,17442,2,10,8,10,0,8
skipped,"no active NULL/NULL pickable lot",52230,132038,132038,　クランマクレガー　７００ｍｌ,6,0,6,0,6,,,0,6,,,6
skipped,"no active NULL/NULL pickable lot",52225,631085,631085,　カップ印　中双糖１Ｋｇ,5,0,5,0,5,,,0,5,,,5
updated,,17464,122051,122051,○２５°いいちこ（麦）シルエット７２０ｍｌ,5,0,5,2,3,17464,2,2,3,2,0,3
skipped,"no active NULL/NULL pickable lot",52229,141270,141270,　金澤麦酒　ゴルトバッハ３３０ｍｌ,3,0,3,0,3,,,0,3,,,3
updated,,17462,122049,122049,○２５°いいちこ（麦）瓶１．８Ｌ,18,0,18,16,2,17462,2,16,2,16,0,2
updated,,17786,141033,141033,　越前福井浪漫麦酒　ピルスナー　３３０ｍｌ,3,0,3,1,2,17786,2,1,2,1,0,2
skipped,"no active NULL/NULL pickable lot",52226,122771,122771,　２５°猪鹿花蝶１．８Ｌ（化粧箱入）,2,0,2,0,2,,,0,2,,,2
updated,,17565,122775,122775,　２５°焼きいも焼酎　鬼火９００ｍｌ,3,0,3,2,1,17565,2,2,1,2,0,1
updated,,18038,132033,132033,　アードベッグ　ウーガダール　７００ｍｌ,2,0,2,1,1,18038,2,1,1,1,0,1
updated,,17800,141264,141264,　越の磯　いちほまれエール３３０ｍｌ,6,0,6,5,1,17800,2,5,1,5,0,1
updated,,19916,221507,221507,　早崎商店　鯖のへしこ　お刺身用,3,0,3,2,1,19916,2,2,1,2,0,1
updated,,20087,156327,156327,　クラレンドル　ブラン　シャトー　オーブリオン　７５０ｍｌ,3,0,3,2,1,20087,2,2,1,2,0,1
skipped,"no active NULL/NULL pickable lot",52224,134092,134092,◎ヘネシーＶＳＯＰ　７００ｍｌ,1,0,1,0,1,,,0,1,,,1
skipped,"no active NULL/NULL pickable lot",52228,134211,134211,　マーテルＶＳ　７００ｍｌ,1,0,1,0,1,,,0,1,,,1
skipped,"no active NULL/NULL pickable lot",52231,132023,132023,　オールドパー　１８年　７５０ｍｌ,1,0,1,0,1,,,0,1,,,1
updated,,17773,135165,135165,　グレンモーレンジ　ネクター　１６年　７００ｍｌ,2,0,2,1,1,17773,2,1,1,1,0,1
updated,,16670,143141,143141,　アサヒ　スーパードライ　生樽１０Ｌ,5,0,5,4,1,16670,2,4,1,4,0,1
